epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3676.26,1.46828,1.09679,1.39205,0.96132,0.80877,0.90966,0.49121,1.40215,1.21595,1.47455,0.000770234,0.000770234,0.000770234
66,3732.71,1.48532,1.1173,1.37568,0.94183,0.8345,0.91463,0.50614,1.37252,1.21454,1.44631,0.000763637,0.000763637,0.000763637
67,3798.04,1.40255,1.07811,1.37547,0.90372,0.87761,0.91108,0.52087,1.37078,1.24228,1.41399,0.000756976,0.000756976,0.000756976
68,3867.35,1.44022,1.08088,1.37498,0.91751,0.85353,0.90532,0.51606,1.37149,1.19483,1.41292,0.000750252,0.000750252,0.000750252
69,3937.34,1.38774,1.06934,1.35001,0.85033,0.86888,0.89781,0.49222,1.42028,1.18644,1.44966,0.000743468,0.000743468,0.000743468
70,4008.7,1.45177,1.08629,1.33945,0.87606,0.85718,0.89797,0.49441,1.36854,1.15109,1.42061,0.000736625,0.000736625,0.000736625
71,4079.68,1.44382,1.09976,1.36455,0.92975,0.81057,0.8988,0.53888,1.31311,1.14374,1.40052,0.000729725,0.000729725,0.000729725
72,4149,1.44739,1.08782,1.35436,0.93548,0.79112,0.89933,0.54042,1.3421,1.15485,1.41164,0.00072277,0.00072277,0.00072277
73,4220.68,1.44664,1.09615,1.36317,0.86526,0.85035,0.90958,0.56701,1.2667,1.07521,1.36396,0.000715761,0.000715761,0.000715761
74,4288.53,1.37828,1.12433,1.33771,0.8522,0.87375,0.91703,0.55787,1.30843,1.1001,1.39115,0.0007087,0.0007087,0.0007087
75,4357.93,1.3855,1.09009,1.36344,0.90933,0.83089,0.9207,0.54157,1.32469,1.09144,1.40042,0.000701588,0.000701588,0.000701588
76,4430.71,1.4417,1.06369,1.36121,0.87839,0.83089,0.91202,0.56718,1.28986,1.06872,1.36806,0.000694428,0.000694428,0.000694428
77,4500.1,1.3819,1.05766,1.30458,0.81316,0.84517,0.89254,0.5406,1.29826,1.12974,1.36738,0.000687222,0.000687222,0.000687222
78,4569.57,1.45318,1.09205,1.38529,0.89956,0.78027,0.88247,0.52509,1.32434,1.16417,1.37941,0.00067997,0.00067997,0.00067997
79,4631.35,1.46567,1.09977,1.39441,0.88146,0.85946,0.89122,0.54657,1.30095,1.09742,1.3467,0.000672675,0.000672675,0.000672675
80,4697.48,1.3541,1.016,1.33469,0.92481,0.85869,0.91079,0.54074,1.30768,1.10523,1.35389,0.000665339,0.000665339,0.000665339
81,4761.03,1.40178,1.04403,1.34887,0.94447,0.8444,0.91596,0.52634,1.37458,1.13355,1.38437,0.000657963,0.000657963,0.000657963
82,4820.87,1.43101,1.09801,1.40938,0.949,0.8444,0.91659,0.54712,1.3466,1.12152,1.37383,0.00065055,0.00065055,0.00065055
83,4890.2,1.37418,0.98443,1.31755,0.89936,0.85869,0.91503,0.57166,1.25874,1.11762,1.32892,0.000643101,0.000643101,0.000643101
84,4959.66,1.32737,0.98549,1.30756,0.88501,0.86979,0.91613,0.56684,1.26505,1.11984,1.34107,0.000635617,0.000635617,0.000635617
85,5028.76,1.31847,0.9566,1.31407,0.90213,0.90086,0.91702,0.56746,1.25698,1.08733,1.3593,0.000628101,0.000628101,0.000628101
86,5097.01,1.33323,0.98746,1.31107,0.92552,0.88155,0.91875,0.56834,1.25004,1.05646,1.35364,0.000620555,0.000620555,0.000620555
87,5167.05,1.334,0.97074,1.31217,0.91807,0.87232,0.92058,0.57501,1.23491,1.05865,1.34266,0.000612981,0.000612981,0.000612981
88,5221.86,1.37339,1.01203,1.34379,0.94112,0.89379,0.92433,0.57113,1.2381,1.0371,1.33529,0.00060538,0.00060538,0.00060538
89,5265.78,1.33985,0.96192,1.29299,0.90334,0.85946,0.9163,0.55822,1.29068,1.06335,1.36258,0.000597754,0.000597754,0.000597754
90,5295.17,1.36094,1.00102,1.32123,0.90818,0.84991,0.91501,0.54005,1.31747,1.1011,1.37304,0.000590105,0.000590105,0.000590105
91,5325.82,1.29382,0.94195,1.27186,0.919,0.84442,0.92903,0.54885,1.30253,1.09125,1.37318,0.000582435,0.000582435,0.000582435
92,5357.18,1.35425,0.9663,1.31804,0.87679,0.89836,0.9394,0.53552,1.31016,1.0949,1.38978,0.000574746,0.000574746,0.000574746
93,5388.68,1.36912,0.98405,1.32522,0.9364,0.85007,0.90002,0.51799,1.33079,1.04739,1.41655,0.00056704,0.00056704,0.00056704
94,5424.37,1.3333,0.92061,1.28793,0.92662,0.89415,0.90385,0.51511,1.32418,1.03916,1.41394,0.000559318,0.000559318,0.000559318
95,5456.04,1.29701,0.96769,1.31289,0.95521,0.90659,0.9262,0.52232,1.33336,1.03767,1.41829,0.000551584,0.000551584,0.000551584
96,5487.74,1.31162,0.93655,1.30468,0.95427,0.89693,0.92615,0.52646,1.33492,1.03695,1.4239,0.000543837,0.000543837,0.000543837
97,5519.2,1.30917,0.90911,1.31532,0.94502,0.87156,0.92548,0.53998,1.33772,1.00364,1.41538,0.000536081,0.000536081,0.000536081
98,5550.87,1.34016,0.97135,1.32855,0.94392,0.85937,0.92749,0.53956,1.33457,1.03029,1.41391,0.000528318,0.000528318,0.000528318
99,5582.27,1.31693,0.93371,1.28969,0.90851,0.86834,0.93017,0.56482,1.2965,1.03227,1.39179,0.000520548,0.000520548,0.000520548
100,5614.1,1.33517,0.96141,1.35435,0.89767,0.86724,0.93394,0.57289,1.28584,1.04286,1.39344,0.000512775,0.000512775,0.000512775
101,5645.41,1.31139,0.97657,1.34055,0.91808,0.90154,0.93464,0.54773,1.32572,1.01045,1.42835,0.000505,0.000505,0.000505
102,5677.03,1.2767,0.90889,1.26065,0.9209,0.91583,0.9344,0.55244,1.3146,0.99006,1.42228,0.000497225,0.000497225,0.000497225
103,5708.77,1.32185,0.97062,1.35172,0.96411,0.91779,0.93243,0.54885,1.29856,0.99199,1.42029,0.000489452,0.000489452,0.000489452
104,5740.25,1.31226,0.96988,1.30952,0.9567,0.89888,0.93256,0.56516,1.26388,0.98968,1.39538,0.000481682,0.000481682,0.000481682
105,5771.67,1.23228,0.9237,1.29505,0.93556,0.91156,0.93394,0.56896,1.27877,1.01741,1.39571,0.000473919,0.000473919,0.000473919
106,5803.3,1.29436,0.87917,1.26113,0.91469,0.87297,0.92732,0.56601,1.29265,1.03428,1.39951,0.000466163,0.000466163,0.000466163
107,5835.18,1.24665,0.88445,1.28143,0.92994,0.88726,0.93131,0.57716,1.26279,1.03669,1.3868,0.000458416,0.000458416,0.000458416
108,5866.77,1.31816,0.92595,1.28021,0.90434,0.88726,0.9316,0.59401,1.24289,1.03408,1.38264,0.000450682,0.000450682,0.000450682
109,5898.05,1.2597,0.90527,1.3196,0.89254,0.88726,0.92394,0.56711,1.26334,1.04988,1.39289,0.00044296,0.00044296,0.00044296
110,5929.54,1.28947,0.93906,1.30244,0.92871,0.86281,0.93285,0.55157,1.27621,1.03926,1.40209,0.000435254,0.000435254,0.000435254
111,5960.97,1.26123,0.90599,1.29225,0.90449,0.87939,0.9239,0.54771,1.28648,1.02675,1.40522,0.000427565,0.000427565,0.000427565
112,5992.59,1.23824,0.87386,1.25517,0.86921,0.91583,0.92296,0.57664,1.25013,1.00723,1.37821,0.000419895,0.000419895,0.000419895
113,6024.19,1.24533,0.86257,1.24278,0.88416,0.89725,0.92553,0.58151,1.25518,0.99685,1.37586,0.000412246,0.000412246,0.000412246
